topic_slug	body	choice_a	choice_b	choice_c	choice_d	correct	explanation	difficulty
computer-programming	テトリスではブロックが1マスずつ下に落下する。次の疑似言語コードはブロックのy座標を1ずつ増やしながら落下させる処理である。【y ← 0　｜　y < 20 の間繰り返す　｜　　y ← y + 1　｜繰り返し終わり】　この繰り返し構造が終了するときのyの値はいくつか。	19	20	21	0	b	yは0から始まり毎回1加算される。y<20が偽になるのはy=20のときなので、終了時のyは20である。y=19のときはまだ条件が真なので繰り返しが続く。	1
computer-programming	テトリスのブロック落下処理で、盤面の底または他ブロックに接触するまで落下を続けたい。次のコードの空欄を埋めよ。【y ← 0　｜　（　ア　）の間繰り返す　｜　　y ← y + 1　｜繰り返し終わり】　盤面の高さは20行（添字0〜19）、board[y+1]が0なら空きマスとする。	y < 19 かつ board[y+1] = 0	y < 20 かつ board[y] = 0	y <= 20 または board[y+1] = 0	y < 19 または board[y+1] = 0	a	落下は盤面の底（y=19）の手前まで、かつ次のマスが空きの間だけ続ける必要がある。y<19かつboard[y+1]=0が正しい条件である。「または」では片方が真なら止まらないため不適切。	2
computer-programming	テトリスのハードドロップ（一気に落下）を高速化したい。盤面の高さをH、幅をWとする。単純にy=0から1マスずつ衝突判定しながら落下させると計算量はO(H)である。各列について「その列の最も高いブロックの位置」を配列heightsに保持しておくと、ハードドロップの計算量はどうなるか。	O(H×W)	O(W)	O(1)	O(H+W)	b	テトリミノの各ブロックが占める列のheights値を参照し、最小の空き位置を求める処理はテトリミノの幅（最大W）に比例する。heights配列を事前計算しておけば1マスずつ走査するO(H)よりO(W)で済む。O(1)にはならない。	3
computer-programming	テトリスではブロックを90度回転させる。2×2の配列Aに格納されたブロック形状を時計回りに90度回転させたい。元の配列がA[0][0]=1, A[0][1]=0, A[1][0]=1, A[1][1]=1のとき、回転後のA[0][0]の値はいくつか。	1	0	1と0の両方あり得る	データ不足で不明	a	2×2配列の時計回り90度回転では、回転後の[i][j]は元の[N-1-j][i]となる。回転後A[0][0]=元のA[1][0]=1である。0とする誤りは変換式の行列の向きを間違えた場合に起こる。	1
computer-programming	テトリスのブロック回転処理で、N×Nの配列を時計回りに90度回転させる疑似言語コードがある。【i を 0 から N-1 まで 1 ずつ増やしながら繰り返す　｜　j を 0 から N-1 まで 1 ずつ増やしながら繰り返す　｜　　B[i][j] ← A[（　ア　）][（　イ　）]　｜　繰り返し終わり　｜繰り返し終わり】　空欄（ア）（イ）に入る組合せはどれか。	ア: N-1-j　イ: i	ア: j　イ: N-1-i	ア: i　イ: N-1-j	ア: N-1-i　イ: j	a	時計回り90度回転ではB[i][j]=A[N-1-j][i]が正しい変換式である。反時計回りの場合はB[i][j]=A[j][N-1-i]となり、選択肢bはそちらに該当する。	2
computer-programming	テトリスのSRS（スーパーローテーションシステム）では、回転が壁や他ブロックに衝突した場合、複数のオフセット位置を順に試す「壁蹴り」を行う。5つのオフセットを順に試す場合、1つのオフセットの衝突判定にO(K)（Kはブロックのマス数）かかるとする。最悪計算量はどれか。	O(K)	O(5K)	O(5+K)	O(K²)	b	各オフセットでK個のマスの衝突判定を行い、最悪5回試すので5×K=O(5K)=O(K)となる。ただし定数を明示するならO(5K)が最も正確な記述である。O(K²)はブロック同士の全組合せ比較の場合であり、ここでは該当しない。	3
computer-programming	テトリスで横一列がすべて埋まったらその行を消去する。盤面の1行（幅W=10）が埋まっているか判定する次のコードの空欄を埋めよ。【filled ← 真　｜　x を 0 から 9 まで 1 ずつ増やしながら繰り返す　｜　　もし board[y][x] = 0 ならば　｜　　　filled ← （　ア　）　｜　　を実行する　｜　繰り返し終わり】	ア: 偽	ア: 真	ア: 0	ア: board[y][x]	a	1マスでも空き（0）があれば「埋まっていない」ので、filledを偽にする。真を代入すると空きがあっても埋まった判定になってしまう。0を代入するのは論理値でなく整数を使っており不適切。	1
computer-programming	テトリスのライン消去処理で、盤面（高さH=20、幅W=10）の全行を走査し、埋まった行を消去して上の行を下にずらす疑似言語コードがある。【y を H-1 から 0 まで 1 ずつ減らしながら繰り返す　｜　もし isFull(y) ならば　｜　　r を y から 1 まで 1 ずつ減らしながら繰り返す　｜　　　board[r] ← board[（　ア　）]　｜　　繰り返し終わり　｜を実行する】　空欄（ア）に入るものはどれか。	r - 1	r + 1	r	y - 1	a	消去した行の位置から上に向かって、各行に1つ上の行（r-1）の内容をコピーして下にずらす。r+1だと下の行をコピーしてしまい正しく動作しない。	2
computer-programming	テトリスで同時に複数行を消去する場合、消去後に上の行を詰める処理の計算量を考える。盤面の高さH、幅Wのとき、最大4行同時消去でナイーブに毎回全行をシフトする方法の計算量と、消去行をまとめて一度にシフトする方法の計算量の組合せとして正しいものはどれか。	ナイーブ: O(H²W)、まとめ: O(HW)	ナイーブ: O(HW)、まとめ: O(HW)	ナイーブ: O(H²W)、まとめ: O(H²W)	ナイーブ: O(HW)、まとめ: O(W)	a	ナイーブに1行消去ごとに全行シフトするとO(HW)が最大4回だがHに比例した行移動があるためO(H²W)。まとめてシフトすれば各行を一度だけ移動するのでO(HW)で済む。	3
computer-programming	テトリスの衝突判定で、ブロックが盤面の壁にぶつかるかを調べたい。ブロックのx座標が盤面の左端（0）より小さいかを判定する条件式として正しいものはどれか。	x < 0	x <= 0	x = 0	x > 0	a	盤面の左端はx=0なのでx<0のとき壁の外（左側）にはみ出している。x<=0だとx=0（盤面内の左端）も衝突と判定してしまい不適切。	1
computer-programming	テトリスの衝突判定で、ブロック（4マス分の座標を持つ）が盤面内の他ブロックと衝突するかを判定する。次のコードの空欄を埋めよ。【collision ← 偽　｜　k を 0 から 3 まで 1 ずつ増やしながら繰り返す　｜　　bx ← block[k].x + dx　｜　　by ← block[k].y + dy　｜　　もし bx < 0 または bx >= W または by >= H ならば　｜　　　collision ← 真　｜　　そうでなくもし （　ア　） ならば　｜　　　collision ← 真　｜　　を実行する　｜繰り返し終わり】	ア: board[by][bx] ≠ 0	ア: board[bx][by] ≠ 0	ア: board[by][bx] = 0	ア: block[k] ≠ 0	a	壁の外かどうかを先に判定した後、盤面上の該当マスが空でない（≠0）なら他ブロックと衝突している。board[by][bx]は行(y)が先で列(x)が後の二次元配列アクセスで正しい。board[bx][by]は行列の添字が逆。	2
computer-programming	テトリスの衝突判定において、テトリミノ（K=4マス）を移動・回転させるたびに盤面全体（H×W）を走査して衝突を調べる方法Aと、テトリミノの各マスだけを盤面配列で参照する方法Bがある。方法A・Bそれぞれの計算量として正しいものはどれか。	A: O(HW)、B: O(K)	A: O(K)、B: O(HW)	A: O(HW)、B: O(HW)	A: O(K)、B: O(K)	a	方法Aは盤面全体H×Wマスを走査するのでO(HW)。方法BはテトリミノのKマスだけ盤面配列を参照するのでO(K)である。K=4は定数なので実質O(1)とも言えるが、Kに比例する点が本質。	3
computer-programming	テトリスのスコア計算で、1行消すと100点、2行同時で300点、3行同時で500点、4行同時で800点が加算される。次のコードで1行消去時の得点を正しく計算しているものはどれか。【lines ← 1　｜　score ← score + 100】	正しい。scoreに100が加算される	誤り。score ← 100 とすべき	誤り。score ← score × 100 とすべき	誤り。score ← score + lines とすべき	a	score ← score + 100は現在のスコアに100を加算する正しい累積計算である。score ← 100だと以前のスコアが消えてしまう。score × 100は乗算なので意味が異なる。	1
computer-programming	テトリスのスコア計算で、同時消去行数に応じた得点を配列で管理する。【points ← {0, 100, 300, 500, 800}　｜　score ← score + points[lines] × level】　level=3、同時消去が2行のとき、加算される得点はいくつか。	900	600	300	1500	a	points[2]=300（添字0から数えて2番目）、level=3なので300×3=900が加算される。600はlevel=2で計算した誤り。300はlevelを掛け忘れた場合の値。	2
computer-programming	テトリスのスコア計算をさらに工夫し、連続でライン消去（コンボ）するたびにボーナスが50ずつ増える仕組みを考える。【combo ← 0　｜　繰り返し　｜　　もし ライン消去あり ならば　｜　　　score ← score + points[lines] × level + combo × 50　｜　　　combo ← combo + 1　｜　　そうでなければ　｜　　　combo ← 0　｜　　を実行する　｜繰り返し終わり】　3回連続で各1行消去（level=1、points[1]=100）した後のcomboボーナス合計はいくつか。	150	100	300	50	a	1回目combo=0でボーナス0、2回目combo=1でボーナス50、3回目combo=2でボーナス100。ボーナス合計は0+50+100=150。comboは消去後に加算されるため、初回はボーナスが付かない点がポイント。	3
computer-programming	テトリスの次ブロック生成で、1〜7の乱数を使って7種類のブロックから1つを選ぶ。次のコードで正しいものはどれか。【block_type ← 乱数(1, 7)】　この乱数(1, 7)は1以上7以下の整数を等確率で返すとする。	7種類のブロックが等確率で選ばれる	6種類しか選ばれない	block_typeは小数になることがある	毎回同じブロックが選ばれる	a	乱数(1,7)は1以上7以下の整数を等確率で返すので、7種類すべてが等確率で選ばれる。6種類になるのは乱数(1,6)の場合。整数を返すと明記されているので小数にはならない。	1
computer-programming	テトリスのブロック生成で、7種類を1巡ずつ偏りなく出す「7-bag」方式を実現したい。次のコードの空欄を埋めよ。【bag ← {1,2,3,4,5,6,7}　｜　i を 6 から 1 まで 1 ずつ減らしながら繰り返す　｜　　j ← 乱数(0, i)　｜　　bag[i] と bag[（　ア　）] を交換する　｜繰り返し終わり】　空欄（ア）に入るものはどれか。	j	i - 1	i + 1	0	a	これはFisher-Yatesシャッフルのアルゴリズムである。bag[i]とbag[j]を交換することで配列をランダムに並び替える。i-1やi+1では正しいシャッフルにならず偏りが生じる。	2
computer-programming	テトリスの「7-bag」方式と純粋乱数方式を比較する。7-bag方式では7個のブロックを1セットとしてシャッフルして順に出す。純粋乱数方式で7回連続で同じブロックが出る確率と、7-bag方式で同じことが起こる確率の組合せとして正しいものはどれか。	純粋乱数: (1/7)⁶、7-bag: 0	純粋乱数: (1/7)⁷、7-bag: 0	純粋乱数: (1/7)⁶、7-bag: (1/7)⁶	純粋乱数: 0、7-bag: (1/7)⁶	a	純粋乱数では最初の1個が決まった後、残り6回同じものが出る確率は(1/7)⁶。7-bag方式では7個すべて異なるため同じブロックが7回連続は確率0（不可能）である。	3
computer-programming	テトリスのゲームループは「入力受付→ブロック移動→衝突判定→描画」を繰り返す。次のコードはこの順序で正しく動作するか。【繰り返し　｜　key ← 入力受付()　｜　ブロック移動(key)　｜　衝突判定()　｜　描画()　｜繰り返し終わり】	正しく動作する	入力受付と描画の順序が逆である	衝突判定を移動の前に行うべきである	ブロック移動の前に描画すべきである	a	入力→移動→判定→描画の順序は正しいゲームループの流れである。衝突判定は移動後に行って衝突していれば戻す方式が一般的。描画は状態更新後に行うのが正しい。	1
computer-programming	テトリスのゲームループで、一定時間ごとに自動落下させつつプレイヤーの入力も受け付ける処理がある。次のコードの空欄を埋めよ。【timer ← 0　｜　繰り返し　｜　　key ← 入力受付()　｜　　もし key ≠ なし ならば　｜　　　ブロック操作(key)　｜　　を実行する　｜　　timer ← timer + 1　｜　　もし （　ア　） ならば　｜　　　ブロック落下()　｜　　　timer ← 0　｜　　を実行する　｜　　描画()　｜繰り返し終わり】	ア: timer >= 落下間隔	ア: timer = 0	ア: timer < 落下間隔	ア: key = 下	a	timerが落下間隔以上になったら自動落下させてtimerをリセットする。timer=0では毎回落下してしまう。timer<落下間隔では間隔未満のときに落下する誤り。key=下はプレイヤー操作であり自動落下ではない。	2
computer-programming	テトリスのゲームループにおいて、1フレームあたりの処理が「入力処理O(1)→衝突判定O(K)→ライン消去判定O(HW)→描画O(HW)」で構成される場合、1フレームあたりの全体計算量として最も適切なものはどれか。ただしK<HWとする。	O(HW)	O(K+HW)	O(H²W²)	O(K×HW)	a	各処理の計算量の合計はO(1)+O(K)+O(HW)+O(HW)=O(HW)である。K<HWなのでO(K)はO(HW)に吸収される。加算の場合は最大のオーダーが支配的になる。O(K×HW)は乗算であり各処理が独立なので不適切。	3